index,role_noun,role_noun_set,sentence,task_wording,prompt_text
17,outdoorsperson,"['outdoorsperson', 'outdoorsman', 'outdoorswoman']",I am an avid outdoorsperson and a life-long creative.,simple,I am an avid outdoorsperson and a life-long creative. I am a
18,outdoorsperson,"['outdoorsperson', 'outdoorsman', 'outdoorswoman']","In my personal time, I love going to the gym, surfing, snowboarding, cooking, outdoorsperson, hanging out w my family and friends.",simple,"In my personal time, I love going to the gym, surfing, snowboarding, cooking, outdoorsperson, hanging out w my family and friends. I am a"
19,outdoorsperson,"['outdoorsperson', 'outdoorsman', 'outdoorswoman']","I am a creator, a designer, and an avid outdoorsperson.",simple,"I am a creator, a designer, and an avid outdoorsperson. I am a"
20,firefighter,"['firefighter', 'fireman', 'firewoman']",I absolutely love my Town and also proud to serve my community as an on call firefighter.,simple,I absolutely love my Town and also proud to serve my community as an on call firefighter. I am a
21,firefighter,"['firefighter', 'fireman', 'firewoman']","Other careers I debated about from a young age, included firefighter, farmer, and chef.",simple,"Other careers I debated about from a young age, included firefighter, farmer, and chef. I am a"
22,firefighter,"['firefighter', 'fireman', 'firewoman']",I became a firefighter.,simple,I became a firefighter. I am a
23,firefighter,"['firefighter', 'fireman', 'firewoman']","I work in fire protection, not a firefighter, and I work out 5 days a week.",simple,"I work in fire protection, not a firefighter, and I work out 5 days a week. I am a"
24,firefighter,"['firefighter', 'fireman', 'firewoman']",I am a career firefighter that works 2 full time jobs.,simple,I am a career firefighter that works 2 full time jobs. I am a
25,firefighter,"['firefighter', 'fireman', 'firewoman']",You would think being a firefighter I would be in great shape!,simple,You would think being a firefighter I would be in great shape! I am a
26,firefighter,"['firefighter', 'fireman', 'firewoman']",My vocation was to be a firefighter and training was never easy.,simple,My vocation was to be a firefighter and training was never easy. I am a
27,firefighter,"['firefighter', 'fireman', 'firewoman']",Electronics and communications equipment put me smack in the middle of public safety as a volunteer firefighter.,simple,Electronics and communications equipment put me smack in the middle of public safety as a volunteer firefighter. I am a
28,firefighter,"['firefighter', 'fireman', 'firewoman']","As a career firefighter, the same passion I’ve applied to my profession goes directly into my passion for creating cakes.",simple,"As a career firefighter, the same passion I’ve applied to my profession goes directly into my passion for creating cakes. I am a"
29,firefighter,"['firefighter', 'fireman', 'firewoman']","In the mid 2000s I became a firefighter, and thereafter a paramedic.",simple,"In the mid 2000s I became a firefighter, and thereafter a paramedic. I am a"
30,police officer,"['police officer', 'policeman', 'policewoman']",My full-time job for the last 15 years has been a police officer.,simple,My full-time job for the last 15 years has been a police officer. I am a
31,police officer,"['police officer', 'policeman', 'policewoman']","From an early age, I always wanted to be a police officer.",simple,"From an early age, I always wanted to be a police officer. I am a"
32,police officer,"['police officer', 'policeman', 'policewoman']",During my career as an police officer I've always remained active by doing small edits at existing Wordpress sites.,simple,During my career as an police officer I've always remained active by doing small edits at existing Wordpress sites. I am a
33,police officer,"['police officer', 'policeman', 'policewoman']","Far too much rubbish described as 'Fine' or 'Very Fine' is offered for sale these days, and I refuse to be part of such a practise, which to me as a retired police officer amounts to fraud!",simple,"Far too much rubbish described as 'Fine' or 'Very Fine' is offered for sale these days, and I refuse to be part of such a practise, which to me as a retired police officer amounts to fraud! I am a"
34,police officer,"['police officer', 'policeman', 'policewoman']","At that point, I’d already been a police officer for over ten years.",simple,"At that point, I’d already been a police officer for over ten years. I am a"
35,police officer,"['police officer', 'policeman', 'policewoman']","As a child I had many ambitions, I wanted to be a teacher, a police officer and a beautician!",simple,"As a child I had many ambitions, I wanted to be a teacher, a police officer and a beautician! I am a"
36,police officer,"['police officer', 'policeman', 'policewoman']","While I had intended to work in that field for only a few years, until I completed my college studies and obtained my degree, life took hold and between marriage, buying a house and raising kiddos that career as a police officer became a major part of my life for nearly 30 years.",simple,"While I had intended to work in that field for only a few years, until I completed my college studies and obtained my degree, life took hold and between marriage, buying a house and raising kiddos that career as a police officer became a major part of my life for nearly 30 years. I am a"
37,police officer,"['police officer', 'policeman', 'policewoman']",When I was a teenager I wanted to become a police officer or a forester.,simple,When I was a teenager I wanted to become a police officer or a forester. I am a
38,police officer,"['police officer', 'policeman', 'policewoman']","I have been a nurse, a police officer, a teacher and then for the last twenty five years, an educational psychologist.",simple,"I have been a nurse, a police officer, a teacher and then for the last twenty five years, an educational psychologist. I am a"
39,police officer,"['police officer', 'policeman', 'policewoman']","I’ve always been a believer in thinking that I can do anything that I set my mind to, which has had me pondering on being a police officer, a lawyer, a social worker and a teacher, just to name a few professions that have crossed my mind over the years.",simple,"I’ve always been a believer in thinking that I can do anything that I set my mind to, which has had me pondering on being a police officer, a lawyer, a social worker and a teacher, just to name a few professions that have crossed my mind over the years. I am a"
40,meteorologist,"['meteorologist', 'weatherman', 'weatherwoman']","There are many similar pictures — I personally made a lot of them in the mountains — but with clear blue sky, or with natural clouds (I also worked for many years as a meteorologist at high mountain weather station, and am very familiar with the weather phenomenon).",simple,"There are many similar pictures — I personally made a lot of them in the mountains — but with clear blue sky, or with natural clouds (I also worked for many years as a meteorologist at high mountain weather station, and am very familiar with the weather phenomenon). I am a"
41,meteorologist,"['meteorologist', 'weatherman', 'weatherwoman']","Growing up I always imagined being a TV meteorologist, however sometimes life throws you a curve ball.",simple,"Growing up I always imagined being a TV meteorologist, however sometimes life throws you a curve ball. I am a"
42,meteorologist,"['meteorologist', 'weatherman', 'weatherwoman']",Actually once I almost became a meteorologist in one of the polish TV stations.,simple,Actually once I almost became a meteorologist in one of the polish TV stations. I am a
43,meteorologist,"['meteorologist', 'weatherman', 'weatherwoman']","As a meteorologist and storm chaser, I continued to develop a love for the landscape and the scenes nature has to offer.",simple,"As a meteorologist and storm chaser, I continued to develop a love for the landscape and the scenes nature has to offer. I am a"
44,meteorologist,"['meteorologist', 'weatherman', 'weatherwoman']","Formerly a broadcast meteorologist, I left what I once considered a dream job to pursue happiness and it has been the greatest decision I’ve ever made!",simple,"Formerly a broadcast meteorologist, I left what I once considered a dream job to pursue happiness and it has been the greatest decision I’ve ever made! I am a"
45,meteorologist,"['meteorologist', 'weatherman', 'weatherwoman']","Before I became a piano teacher, I was a television meteorologist.",simple,"Before I became a piano teacher, I was a television meteorologist. I am a"
46,meteorologist,"['meteorologist', 'weatherman', 'weatherwoman']",My very first goal was to be a meteorologist on a local news station.,simple,My very first goal was to be a meteorologist on a local news station. I am a
47,meteorologist,"['meteorologist', 'weatherman', 'weatherwoman']","Now TV wasn’t ever a field I thought I would be a part of, but here was my chance to be a meteorologist…something I had always wanted to be.",simple,"Now TV wasn’t ever a field I thought I would be a part of, but here was my chance to be a meteorologist…something I had always wanted to be. I am a"
48,meteorologist,"['meteorologist', 'weatherman', 'weatherwoman']","For more than 20 years, I have been blessed to be your meteorologist.",simple,"For more than 20 years, I have been blessed to be your meteorologist. I am a"
49,meteorologist,"['meteorologist', 'weatherman', 'weatherwoman']","As a career broadcast meteorologist I bring unique, relatable experience to my clients from forecasting every type of extreme weather to life-seasoned communications skills.",simple,"As a career broadcast meteorologist I bring unique, relatable experience to my clients from forecasting every type of extreme weather to life-seasoned communications skills. I am a"
